VTX, IDX, s_attribute_0.x, s_attribute_0.y, s_attribute_1.x, s_attribute_1.y, s_attribute_1.z, s_attribute_1.w, s_attribute_2.x, s_attribute_2.y, s_attribute_2.z, s_attribute_2.w, s_attribute_3.x, s_attribute_3.y, s_attribute_3.z, s_attribute_3.w
698, 39540, -7.27462, -11.97526,  0.40137, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
699, 39479, -6.4723, -11.25661,  0.15198, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
700, 39526, -7.0625, -11.11477,  0.27661, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
701, 39515, -6.93647, -11.44888,  0.27661, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
702, 39479, -6.4723, -11.25661,  0.15198, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
703, 39488, -6.59832, -10.92251,  0.15198, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
704, 39526, -7.0625, -11.11477,  0.27661, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
705, 39515, -6.93647, -11.44888,  0.27661, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
706, 39557, -7.52667, -11.30704,  0.40137, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
707, 39549, -7.40065, -11.64115,  0.40137, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
